date, time, chamber,TA,Null,CO2L,DiffP,TS,Null,SoilM,CO2Flow,CO2CChamb,DPCChamb,LCO2slope,ValveTime,CondWater,TBox,doorcnt
2014-02-13,00:00:09, 1 ,-51.1 , 1 , 450.5 ,-22.1 , 1 , 1 ,-7.1 , 0 , 443.9 , 22.8 , 0.9901963 , 0 , 0 , 29.3 , 0 
2014-02-13,00:00:09, 2 ,-51.1 , 1 , 442.1 ,-5.3 , 1 , 1 ,-7.1 , 0 , 438 , 22.5 , 1.004869 , 0 , 4.15 , 28.4 , 0 
2014-02-13,00:00:09, 3 , 26.4 , 1 , 437.5 ,-5.8 , 1 , 1 ,-7.1 , 0 , 433.3 , 21.7 , 0.5080724 , 0 , 3.36 , 27.1 , 0 
2014-02-13,00:00:09, 4 , 27.2 , 1 , 434.5 ,-8.5 , 1 , 1 ,-7.1 , 0 , 431 , 22.6 , 1.0152 , 0 , 0 , 27.4 , 0 
2014-02-13,00:00:09, 5 , 149.2 , 1 , 457.7 ,-10.3 , 1 , 1 ,-7.1 , 0 , 452.1 , 22.2 , 1.019434 , 0 , 4.6 , 27.6 , 0 
2014-02-13,00:00:09, 6 , 26.3 , 1 , 434.3 ,-16.2 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.8 , 0.4874795 , 0 , 0 , 27.1 , 0 
2014-02-13,00:00:09, 7 , 26.6 , 1 , 436.8 ,-13.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.4 , 0.5078671 , 0 , 0 , 25.1 , 0 
2014-02-13,00:00:09, 8 ,-51.1 , 1 , 445.1 ,-23.4 , 1 , 1 ,-7.1 , 0 , 442.7 , 20.7 , 0.4853723 , 0 , 0 , 24.6 , 0 
2014-02-13,00:00:09, 9 ,-51.1 , 1 , 434.7 ,-2.9 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.6 , 1.001558 , 0 , 0 , 25.3 , 0 
2014-02-13,00:00:09, 10 , 26 , 1 , 431.5 ,-3.4 , 1 , 1 ,-7.1 , 0 , 429.8 , 20.6 , 1.034871 , 0 , 0 , 27 , 0 
2014-02-13,00:00:09, 11 , 26.2 , 1 , 450.8 ,-17.6 , 1 , 1 ,-7.1 , 0 , 449.7 , 20.6 , 1.017633 , 0 , 4.5 , 27.3 , 0 
2014-02-13,00:00:09, 12 , 85.5 , 1 , 445.2 ,-4.9 , 1 , 1 ,-7.1 , 0 , 443.9 , 21.6 , 0.9918616 , 0 , 6.4 , 26.8 , 0 
2014-02-13,00:00:09, 13 , 443.9 , 99.7 , 21.3 , 101.7 , 20.6 , 20.6 , 27 , 0 , 0 , 420.4 , 0 ,
2014-02-13,00:01:09, 1 ,-51.1 , 1 , 450.5 ,-22.1 , 1 , 1 ,-7.1 , 0 , 443.9 , 22.8 , 0.9901963 , 0 , 0 , 29.3 , 0 
2014-02-13,00:01:09, 2 ,-51.1 , 1 , 442.1 ,-5.5 , 1 , 1 ,-7.1 , 0 , 438 , 22.5 , 1.004869 , 0 , 4.15 , 28.3 , 0 
2014-02-13,00:01:09, 3 , 26.4 , 1 , 436.9 ,-5.8 , 1 , 1 ,-7.1 , 0 , 433.3 , 21.7 , 0.5080724 , 0 , 0 , 27.1 , 0 
2014-02-13,00:01:09, 4 , 27.1 , 1 , 435.5 ,-8.5 , 1 , 1 ,-7.1 , 0 , 431 , 22.6 , 1.0152 , 0 , 5.16 , 27.4 , 0 
2014-02-13,00:01:09, 5 , 149.2 , 1 , 458.7 ,-10.3 , 1 , 1 ,-7.1 , 0 , 452.1 , 22.2 , 1.019434 , 0 , 0 , 27.5 , 0 
2014-02-13,00:01:09, 6 , 26.3 , 1 , 433.9 ,-16.2 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.8 , 0.4874795 , 0 , 0 , 27.1 , 0 
2014-02-13,00:01:09, 7 , 26.7 , 1 , 437.3 ,-13.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.4 , 0.5078671 , 0 , 4.2 , 25.1 , 0 
2014-02-13,00:01:09, 8 ,-51.1 , 1 , 445.6 ,-23.4 , 1 , 1 ,-7.1 , 0 , 442.7 , 20.7 , 0.4853723 , 0 , 4.31 , 24.6 , 0 
2014-02-13,00:01:09, 9 ,-51.1 , 1 , 434.7 ,-2.9 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.6 , 1.001558 , 0 , 4.58 , 25.3 , 0 
2014-02-13,00:01:09, 10 , 26 , 1 , 431.5 ,-3.6 , 1 , 1 ,-7.1 , 0 , 429.8 , 20.6 , 1.034871 , 0 , 4.93 , 27 , 0 
2014-02-13,00:01:09, 11 , 26.2 , 1 , 451.8 ,-17.6 , 1 , 1 ,-7.1 , 0 , 449.7 , 20.6 , 1.017633 , 0 , 0 , 27.3 , 0 
2014-02-13,00:01:09, 12 , 85.2 , 1 , 445.3 ,-5 , 1 , 1 ,-7.1 , 0 , 443.9 , 21.6 , 0.9918616 , 0 , 0 , 26.8 , 0 
2014-02-13,00:01:09, 13 , 425.1 , 99.6 , 21.3 , 101.7 , 20.6 , 20.7 , 27 , 0 , 0 , 425.1 , 0 ,
2014-02-13,00:02:09, 1 ,-51.1 , 1 , 451.5 ,-22.1 , 1 , 1 ,-7.1 , 0 , 449.7 , 22.9 , 0.9903694 , 0 , 4.66 , 29.3 , 0 
2014-02-13,00:02:09, 2 ,-51.1 , 1 , 442.1 ,-5.5 , 1 , 1 ,-7.1 , 0 , 438 , 22.5 , 1.004869 , 0 , 0 , 28.3 , 0 
2014-02-13,00:02:09, 3 , 26.4 , 1 , 437.5 ,-5.8 , 1 , 1 ,-7.1 , 0 , 433.3 , 21.7 , 0.5080724 , 0 , 3.36 , 27.1 , 0 
2014-02-13,00:02:09, 4 , 27.2 , 1 , 435.5 ,-8.5 , 1 , 1 ,-7.1 , 0 , 431 , 22.6 , 1.0152 , 0 , 0 , 27.4 , 0 
2014-02-13,00:02:09, 5 , 149.2 , 1 , 458.7 ,-10.3 , 1 , 1 ,-7.1 , 0 , 452.1 , 22.2 , 1.019434 , 0 , 0 , 27.5 , 0 
2014-02-13,00:02:09, 6 , 26.3 , 1 , 434.8 ,-16.2 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.8 , 0.4874795 , 0 , 0 , 27.1 , 0 
2014-02-13,00:02:09, 7 , 26.6 , 1 , 437.3 ,-13.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.4 , 0.5078671 , 0 , 0 , 25.1 , 0 
2014-02-13,00:02:09, 8 ,-51.1 , 1 , 444.1 ,-23.4 , 1 , 1 ,-7.1 , 0 , 442.7 , 20.7 , 0.4853723 , 0 , 0 , 24.6 , 0 
2014-02-13,00:02:09, 9 ,-51.1 , 1 , 434.7 ,-2.9 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.6 , 1.001558 , 0 , 0 , 25.3 , 0 
2014-02-13,00:02:09, 10 , 25.9 , 1 , 432.6 ,-3.4 , 1 , 1 ,-7.1 , 0 , 429.8 , 20.6 , 1.034871 , 0 , 4.93 , 27 , 0 
2014-02-13,00:02:09, 11 , 26.1 , 1 , 451.8 ,-17.6 , 1 , 1 ,-7.1 , 0 , 449.7 , 20.6 , 1.017633 , 0 , 0 , 27.3 , 0 
2014-02-13,00:02:09, 12 , 84.8 , 1 , 445.3 ,-5 , 1 , 1 ,-7.1 , 0 , 443.9 , 21.6 , 0.9918616 , 0 , 0 , 26.8 , 0 
2014-02-13,00:02:09, 13 , 449.7 , 99.7 , 21.3 , 101.7 , 20.6 , 20.6 , 27 , 0 , 0 , 425.1 , 0 ,
2014-02-13,00:03:09, 1 ,-51.1 , 1 , 451.6 ,-22.1 , 1 , 1 ,-7.1 , 0 , 449.7 , 22.9 , 0.9903694 , 0 , 0 , 29.3 , 0 
2014-02-13,00:03:09, 2 ,-51.1 , 1 , 443.1 ,-5.3 , 1 , 1 ,-7.1 , 0 , 441.5 , 22.6 , 1.004512 , 0 , 4.15 , 28.3 , 0 
2014-02-13,00:03:09, 3 , 26.3 , 1 , 437.5 ,-5.8 , 1 , 1 ,-7.1 , 0 , 433.3 , 21.7 , 0.5080724 , 0 , 0 , 27.1 , 0 
2014-02-13,00:03:09, 4 , 27.1 , 1 , 435.5 ,-8.3 , 1 , 1 ,-7.1 , 0 , 431 , 22.6 , 1.0152 , 0 , 0 , 27.4 , 0 
2014-02-13,00:03:09, 5 , 149.2 , 1 , 459.8 ,-10.3 , 1 , 1 ,-7.1 , 0 , 452.1 , 22.2 , 1.019434 , 0 , 4.6 , 27.5 , 0 
2014-02-13,00:03:09, 6 , 26.3 , 1 , 435.8 ,-16.2 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.8 , 0.4874795 , 0 , 0 , 27.1 , 0 
2014-02-13,00:03:09, 7 , 26.6 , 1 , 437.8 ,-13.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.4 , 0.5078671 , 0 , 0 , 25.1 , 0 
2014-02-13,00:03:09, 8 ,-51.1 , 1 , 444.6 ,-23.4 , 1 , 1 ,-7.1 , 0 , 442.7 , 20.7 , 0.4853723 , 0 , 4.31 , 24.6 , 0 
2014-02-13,00:03:09, 9 ,-51.1 , 1 , 435.7 ,-2.9 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.6 , 1.001558 , 0 , 0 , 25.3 , 0 
2014-02-13,00:03:09, 10 , 26 , 1 , 432.6 ,-3.4 , 1 , 1 ,-7.1 , 0 , 429.8 , 20.6 , 1.034871 , 0 , 0 , 27 , 0 
2014-02-13,00:03:09, 11 , 26.2 , 1 , 451.8 ,-17.6 , 1 , 1 ,-7.1 , 0 , 449.7 , 20.6 , 1.017633 , 0 , 0 , 27.3 , 0 
2014-02-13,00:03:09, 12 , 84.5 , 1 , 445.3 ,-5 , 1 , 1 ,-7.1 , 0 , 443.9 , 21.6 , 0.9918616 , 0 , 6.4 , 26.8 , 0 
2014-02-13,00:03:09, 13 , 441.5 , 99.7 , 21.3 , 101.7 , 20.6 , 20.6 , 27 , 0 , 0 , 425.1 , 0 ,
2014-02-13,00:04:09, 1 ,-51.1 , 1 , 452.6 ,-22.1 , 1 , 1 ,-7.1 , 0 , 449.7 , 22.9 , 0.9903694 , 0 , 0 , 29.3 , 0 
2014-02-13,00:04:09, 2 ,-51.1 , 1 , 443 ,-5.5 , 1 , 1 ,-7.1 , 0 , 441.5 , 22.6 , 1.004512 , 0 , 0 , 28.3 , 0 
2014-02-13,00:04:09, 3 , 26.4 , 1 , 437.5 ,-5.8 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.9 , 0.5078151 , 0 , 3.36 , 27 , 0 
2014-02-13,00:04:09, 4 , 27.1 , 1 , 435.5 ,-8.5 , 1 , 1 ,-7.1 , 0 , 431 , 22.6 , 1.0152 , 0 , 0 , 27.4 , 0 
2014-02-13,00:04:09, 5 , 149.2 , 1 , 459.8 ,-10.3 , 1 , 1 ,-7.1 , 0 , 452.1 , 22.2 , 1.019434 , 0 , 0 , 27.5 , 0 
2014-02-13,00:04:09, 6 , 26.2 , 1 , 435.8 ,-16.2 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.8 , 0.4874795 , 0 , 0 , 27 , 0 
2014-02-13,00:04:09, 7 , 26.4 , 1 , 440.8 ,-13.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.4 , 0.5078671 , 0 , 0 , 25.1 , 0 
2014-02-13,00:04:09, 8 ,-51.1 , 1 , 445.1 ,-23.4 , 1 , 1 ,-7.1 , 0 , 442.7 , 20.7 , 0.4853723 , 0 , 0 , 24.6 , 0 
2014-02-13,00:04:09, 9 ,-51.1 , 1 , 435.7 ,-2.9 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.6 , 1.001558 , 0 , 0 , 25.3 , 0 
2014-02-13,00:04:09, 10 , 25.9 , 1 , 432.6 ,-3.4 , 1 , 1 ,-7.1 , 0 , 429.8 , 20.6 , 1.034871 , 0 , 0 , 27 , 0 
2014-02-13,00:04:09, 11 , 26.1 , 1 , 452.8 ,-17.6 , 1 , 1 ,-7.1 , 0 , 449.7 , 20.6 , 1.017633 , 0 , 0 , 27.3 , 0 
2014-02-13,00:04:09, 12 , 84.2 , 1 , 446.3 ,-5 , 1 , 1 ,-7.1 , 0 , 443.9 , 21.6 , 0.9918616 , 0 , 0 , 26.8 , 0 
2014-02-13,00:04:09, 13 , 436.8 , 99.8 , 21.3 , 101.7 , 20.6 , 20.6 , 27 , 0 , 0 , 425.1 , 0 ,
2014-02-13,00:05:09, 1 ,-51.1 , 1 , 452.6 ,-22.1 , 1 , 1 ,-7.1 , 0 , 449.7 , 22.9 , 0.9903694 , 0 , 0 , 29.3 , 0 
2014-02-13,00:05:09, 2 ,-51.1 , 1 , 443 ,-5.3 , 1 , 1 ,-7.1 , 0 , 441.5 , 22.6 , 1.004512 , 0 , 4.15 , 28.2 , 0 
2014-02-13,00:05:09, 3 , 26.3 , 1 , 437.2 ,-5.8 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.9 , 0.5078151 , 0 , 3.36 , 27 , 0 
2014-02-13,00:05:09, 4 , 27 , 1 , 436.5 ,-8.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 22.6 , 1.015767 , 0 , 0 , 27.4 , 0 
2014-02-13,00:05:09, 5 , 149.2 , 1 , 460.8 ,-10.3 , 1 , 1 ,-7.1 , 0 , 452.1 , 22.2 , 1.019434 , 0 , 0 , 27.5 , 0 
2014-02-13,00:05:09, 6 , 26.2 , 1 , 435.8 ,-16.2 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.8 , 0.4874795 , 0 , 0 , 27 , 0 
2014-02-13,00:05:09, 7 , 26.6 , 1 , 441.3 ,-13.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.4 , 0.5078671 , 0 , 0 , 25.1 , 0 
2014-02-13,00:05:09, 8 ,-51.1 , 1 , 445.6 ,-23.4 , 1 , 1 ,-7.1 , 0 , 442.7 , 20.7 , 0.4853723 , 0 , 4.31 , 24.6 , 0 
2014-02-13,00:05:09, 9 ,-51.1 , 1 , 435.7 ,-2.9 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.6 , 1.001558 , 0 , 4.58 , 25.3 , 0 
2014-02-13,00:05:09, 10 , 25.9 , 1 , 432.6 ,-3.4 , 1 , 1 ,-7.1 , 0 , 429.8 , 20.6 , 1.034871 , 0 , 4.93 , 27 , 0 
2014-02-13,00:05:09, 11 , 26.1 , 1 , 452.8 ,-17.6 , 1 , 1 ,-7.1 , 0 , 449.7 , 20.6 , 1.017633 , 0 , 4.5 , 27.3 , 0 
2014-02-13,00:05:09, 12 , 83.8 , 1 , 447.3 ,-5 , 1 , 1 ,-7.1 , 0 , 443.9 , 21.6 , 0.9918616 , 0 , 0 , 26.8 , 0 
2014-02-13,00:05:09, 13 , 435.7 , 99.7 , 21.3 , 101.7 , 20.6 , 20.6 , 27 , 0 , 0 , 425.1 , 0 ,
2014-02-13,00:06:09, 1 ,-51.1 , 1 , 453.6 ,-22.1 , 1 , 1 ,-7.1 , 0 , 449.7 , 22.9 , 0.9903694 , 0 , 4.66 , 29.3 , 0 
2014-02-13,00:06:09, 2 ,-51.1 , 1 , 443 ,-5.3 , 1 , 1 ,-7.1 , 0 , 441.5 , 22.6 , 1.004512 , 0 , 4.15 , 28.2 , 0 
2014-02-13,00:06:09, 3 , 26.4 , 1 , 437.7 ,-5.9 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.9 , 0.5078151 , 0 , 0 , 27 , 0 
2014-02-13,00:06:09, 4 , 27.1 , 1 , 436.8 ,-8.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 22.6 , 1.015767 , 0 , 0 , 27.4 , 0 
2014-02-13,00:06:09, 5 , 149.2 , 1 , 460.8 ,-10.3 , 1 , 1 ,-7.1 , 0 , 452.1 , 22.2 , 1.019434 , 0 , 4.6 , 27.5 , 0 
2014-02-13,00:06:09, 6 , 26.2 , 1 , 435.3 ,-16.2 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.8 , 0.4874795 , 0 , 0 , 27 , 0 
2014-02-13,00:06:09, 7 , 26.4 , 1 , 441.8 ,-13.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.4 , 0.5078671 , 0 , 0 , 25.1 , 0 
2014-02-13,00:06:09, 8 ,-51.1 , 1 , 448 ,-23.4 , 1 , 1 ,-7.1 , 0 , 442.7 , 20.7 , 0.4853723 , 0 , 4.31 , 24.6 , 0 
2014-02-13,00:06:09, 9 ,-51.1 , 1 , 435.7 ,-2.9 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.6 , 1.001558 , 0 , 0 , 25.3 , 0 
2014-02-13,00:06:09, 10 , 25.9 , 1 , 433.6 ,-3.4 , 1 , 1 ,-7.1 , 0 , 429.8 , 20.6 , 1.034871 , 0 , 0 , 27 , 0 
2014-02-13,00:06:09, 11 , 26.1 , 1 , 453.9 ,-17.6 , 1 , 1 ,-7.1 , 0 , 449.7 , 20.6 , 1.017633 , 0 , 0 , 27.3 , 0 
2014-02-13,00:06:09, 12 , 83.5 , 1 , 446.3 ,-5 , 1 , 1 ,-7.1 , 0 , 443.9 , 21.6 , 0.9918616 , 0 , 0 , 26.8 , 0 
2014-02-13,00:06:09, 13 , 422.7 , 99.8 , 21.2 , 101.7 , 20.6 , 20.6 , 27 , 0 , 0 , 422.7 , 0 ,
2014-02-13,00:07:09, 1 ,-51.1 , 1 , 453.6 ,-22.1 , 1 , 1 ,-7.1 , 0 , 449.7 , 22.9 , 0.9903694 , 0 , 0 , 29.3 , 0 
2014-02-13,00:07:09, 2 ,-51.1 , 1 , 444 ,-5.5 , 1 , 1 ,-7.1 , 0 , 441.5 , 22.6 , 1.004512 , 0 , 0 , 28.2 , 0 
2014-02-13,00:07:09, 3 , 26.3 , 1 , 438.2 ,-5.8 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.9 , 0.5078151 , 0 , 0 , 27 , 0 
2014-02-13,00:07:09, 4 , 27 , 1 , 436.8 ,-8.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 22.6 , 1.015767 , 0 , 0 , 27.4 , 0 
2014-02-13,00:07:09, 5 , 149.2 , 1 , 461.8 ,-10.3 , 1 , 1 ,-7.1 , 0 , 459.1 , 22.1 , 1.018374 , 0 , 0 , 27.5 , 0 
2014-02-13,00:07:09, 6 , 26.2 , 1 , 435.3 ,-16.2 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.8 , 0.4874795 , 0 , 0 , 27 , 0 
2014-02-13,00:07:09, 7 , 26.5 , 1 , 442.4 ,-13.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.4 , 0.5078671 , 0 , 0 , 25.2 , 0 
2014-02-13,00:07:09, 8 ,-51.1 , 1 , 448.5 ,-23.4 , 1 , 1 ,-7.1 , 0 , 442.7 , 20.7 , 0.4853723 , 0 , 0 , 24.6 , 0 
2014-02-13,00:07:09, 9 ,-51.1 , 1 , 436.7 ,-2.9 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.6 , 1.001558 , 0 , 0 , 25.3 , 0 
2014-02-13,00:07:09, 10 , 26 , 1 , 433.6 ,-3.4 , 1 , 1 ,-7.1 , 0 , 429.8 , 20.6 , 1.034871 , 0 , 4.93 , 27 , 0 
2014-02-13,00:07:09, 11 , 26.1 , 1 , 453.9 ,-17.6 , 1 , 1 ,-7.1 , 0 , 449.7 , 20.6 , 1.017633 , 0 , 0 , 27.4 , 0 
2014-02-13,00:07:09, 12 , 83.1 , 1 , 447.3 ,-5 , 1 , 1 ,-7.1 , 0 , 443.9 , 21.6 , 0.9918616 , 0 , 6.4 , 26.8 , 0 
2014-02-13,00:07:09, 13 , 459.1 , 99.6 , 21.2 , 101.7 , 20.6 , 20.6 , 27 , 0 , 0 , 422.7 , 0 ,
2014-02-13,00:08:09, 1 ,-51.1 , 1 , 453.6 ,-22.1 , 1 , 1 ,-7.1 , 0 , 449.7 , 22.9 , 0.9903694 , 0 , 0 , 29.3 , 0 
2014-02-13,00:08:09, 2 ,-51.1 , 1 , 444 ,-5.5 , 1 , 1 ,-7.1 , 0 , 441.5 , 22.6 , 1.004512 , 0 , 4.15 , 28.2 , 0 
2014-02-13,00:08:09, 3 , 26.4 , 1 , 438.2 ,-5.8 , 1 , 1 ,-7.1 , 0 , 436.8 , 21.9 , 0.5078151 , 0 , 3.36 , 27 , 0 
2014-02-13,00:08:09, 4 , 27.1 , 1 , 437.8 ,-8.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 22.6 , 1.015767 , 0 , 0 , 27.4 , 0 
2014-02-13,00:08:09, 5 , 149.2 , 1 , 461.3 ,-10.3 , 1 , 1 ,-7.1 , 0 , 459.1 , 22.1 , 1.018374 , 0 , 4.6 , 27.5 , 0 
2014-02-13,00:08:09, 6 , 26.2 , 1 , 435.8 ,-16.2 , 1 , 1 ,-7.1 , 0 , 440.3 , 21.8 , 0.4901578 , 0 , 0 , 27 , 0 
2014-02-13,00:08:09, 7 , 26.4 , 1 , 438.3 ,-13.5 , 1 , 1 ,-7.1 , 0 , 435.7 , 20.4 , 0.5078671 , 0 , 4.2 , 25.2 , 0 
